Datum, Nennschluss, PLZ, Ort, Kanton, Name
31.03.2019,  01.03.2019,  4585,  Biezwil,  SO,  1. BIEZWILER PATROUILLENRITT
31.03.2019,  04.03.2019,  5610,  Wohlen,  AG,  Patrouillenritt Wohlen AG
07.04.2019,  ,  ,  8625,  Gossau,  ZH,  6. Patrouillen- Ritt
13.04.2019,  01.04.2019,  8552,  Felben-Wellhausen,  TG,  SwissMót-Family
13.04.2019,  11.03.2019,  8706,  Meilen,  ZH,  OKV-Patrouillenritt Pfannenstiel / Meilen ZH
13.04.2019,  04.03.2019,  3427,  Utzenstorf,  BE,  2. Patrouillenritt,  Utzenstorf
14.04.2019,  25.03.2019,  3600,  Thun,  BE,  16. Patrouillenritt des Pferdesportverein Thun
20.04.2019,  20.03.2019,  5705,  Hallwil,  AG,  2.Patrouillenritt
20.04.2019,  25.03.2019,  8712,  Stäfa,  ZH,  Patrouillenritt in Stäfa
27.04.2019,  25.03.2019,  3326,  Krauchthal,  BE,  Chrouchtubärg-Patrouillenritt
28.04.2019,  01.04.2019,  6147,  Altbüron,  LU,  6. Geländefahrt Altbüron LU
28.04.2019,  25.03.2019,  3184,  Wünnewil,  FR,  Patrouillenritt des Reitverein Sene
01.05.2019,  07.04.2019,  8187,  Weiach,  ZH,  21,  Patrouillenritt der Voltigegruppe Neuwies
04.05.2019,  15.04.2019,  4577,  Hessigkofen,  SO,  Patrouillenritt
04.05.2019,  06.04.2019,  9488,  Schellenberg,  FL,  Patroullenritt in Schellenberg/FL
05.05.2019,  13.04.2019,  4805,  Brittnau,  AG,  Ride and Bike
05.05.2019,  07.04.2019,  8240,  Thayngen,  SH,  Patrouillen Ritt Bike & Ride mit 10 tollen Posten
11.05.2019,  14.04.2019,  3088,  Rüeggisberg,  BE,  2. Patrouillenritt der Pferdesportfreunde Rüeggisberg
12.05.2019,  14.04.2019,  3315,  Kräiligen,  BE,  2. Patrouillenritt Kräiligen-Limpachtal
18.05.2019,  15.04.2019,  4803,  Vordemwald,  AG,  Der 4. Patrouillenritt Steht unter dem Motto "Herr der Ringe"
25.05.2019,  29.04.2019,  8457,  Humlikon,  ZH,  Patrouillenritt & Gymkhana in Humlikon
26.05.2019,  29.04.2019,  ,  ,  Baggwil,  BE,  Patrouillenritt und -fahrt
02.06.2019,  ,  ,  3043,  Uettligen,  BE,  Patrouillenritt mit Gymkhana am Ziel
02.06.2019,  01.05.2019,  4441,  Thürnen,  BL,  7. Patrouillenritt auf dem Hof Erlimatt Thürnen
08.06.2019,  20.05.2019,  6074,  Giswil,  OW,  Patrouillenritt Giswil OW
09.06.2019,  30.05.2019,  3618,  Süderen,  BE,  Patrouillenritt Schallenberg
09.06.2019,  13.05.2019,  5600,  Lenzburg,  AG,  Die Superhelden sind los...   9 spannende Posten... Spiel,  Spass und Action mit euren vierbeinigen S
10.06.2019,  16.05.2019,  7204,  Untervaz,  GR,  Patrouillenritt mit 9 spannenden Posten :)
15.06.2019,  06.05.2018,  5630,  Muri,  AG,  Patrouillenritt
16.06.2019,  20.05.2019,  8514,  Amlikon-Bissegg,  TG,  Patrouillenritt
22.06.2019,  13.05.2019,  8910,  Affoltern am Albis,  ZH,  Abwechslungsreicher Patrouillenritt am Müliberg
29.06.2019,  27.05.2019,  3309,  Zauggenried,  BE,  Patrouillenritt in Zauggenried BE
30.06.2019,  18.05.2019,  8112,  Otelfingen,  ZH,  Arbeitsposten zum Thema Zirkus
10.08.2019,  12.07.2019,  5722,  Gränichen,  AG,  3.Patrouillenritt Appaloosa Horse Club Schweiz
10.08.2019,  08.07.2019,  9630,  Wattwil,  SG,  Patrouillenritt Rickenhof,  9630 Wattwil
18.08.2019,  23.07.2019,  9000,  St. Gallen,  SG,  7. Patrouillenritt St. Gallen
25.08.2019,  05.08.2019,  8864,  Reichenburg,  SZ,  Patrouillenritt Reichenburg
25.08.2019,  22.07.2019,  3116,  Kirchdorf,  BE,  Ride & Bike
07.09.2019,  03.08.2019,  8194,  Hüntwangen,  ZH,  1. Patrouillenritt und Ride and Bike
14.09.2019,  24.08.2019,  9496,  Balzers,  Ba,  3. Patrouillenritt des PSV Balzers
21.09.2019,  19.08.2019,  8426,  Lufingen,  ZH,  Kurz Patrouillenritt
17.11.2019,  07.10.2019,  3127,  Mühlethurnen,  BE,  Adventsritt (Patrouillenritt)
24.11.2019,  04.11.2019,  3800,  Interlaken,  BE,  Patrouillenritt Votige Team Interlaken
